Год;2014;2015
Алейский муниципальный район;2103747;2763813
Алтайский муниципальный район;1710123;2055323
Баевский муниципальный район;984909;1642362
Бийский муниципальный район;3153810;3682098
Благовещенский муниципальный район;1647431;2034004
Бурлинский муниципальный район;847129;1082445
Быстроистокский муниципальный район;914952;1165981
Волчихинский муниципальный район;1592117;2513348
Егорьевский муниципальный район;1136181;1510914
Ельцовский муниципальный район;426351;501922
Завьяловский муниципальный район;1715204;2399798
Залесовский муниципальный район;897630;946895
Заринский муниципальный район;1900260;2296945
Змеиногорский муниципальный район;1430061;1614133
Калманский муниципальный район;1288800;2351396
Каменский муниципальный район;1388741;2166619
Ключевский муниципальный район;1888913;2210823
Косихинский муниципальный район;1920704;2088742
Красногорский муниципальный район;1178589;1382346
Краснощековский муниципальный район;2329235;2572877
Крутихинский муниципальный район;1147469;1637821
Кулундинский муниципальный район;1196354;1613154
Курьинский муниципальный район;949192;1021180
Кытмановский муниципальный район;1960586;2555813
Локтевский муниципальный район;1968525;2432026
Мамонтовский муниципальный район;1957495;2696295
Михайловский муниципальный район;1517997;1854968
Новичихинский муниципальный район;1270291;1791828
Зональный муниципальный район;6874286;8165125
Павловский муниципальный район;4713712;5933124
Панкрушихинский муниципальный район;1136935;1692291
Первомайский муниципальный район;3512450;3717773
Петропавловский муниципальный район;1598325;1945006
Поспелихинский муниципальный район;2497883;2850955
Ребрихинский муниципальный район;3113475;4216529
Родинский муниципальный район;2010042;3038045
Романовский муниципальный район;1684361;2537584
Рубцовский муниципальный район;2559316;2987063
Смоленский муниципальный район;2036103;2188755
Суетский муниципальный район;662101;931158
Советский муниципальный район;2110873;2567028
Солонешенский муниципальный район;1077284;1202969
Солтонский муниципальный район;683021;1032698
Шелаболихинский муниципальный район;1557534;1895019
Табунский муниципальный район;850164;1377097
Тальменский муниципальный район;3778036;3400514
Тогульский муниципальный район;1644849;1789622
Топчихинский муниципальный район;2445659;2853794
Третьяковский муниципальный район;1939634;2304243
Троицкий муниципальный район;1881172;2155984
Тюменцевский муниципальный район;1424827;2112105
Угловский муниципальный район;928223;1215580
Усть-Калманский муниципальный район;1713538;2041815
Усть-Пристанский муниципальный район;1436369;1683519
Хабарский муниципальный район;1798290;2415514
Целинный муниципальный район;2112646;2830768
Чарышский муниципальный район;1242801;1286959
Шипуновский муниципальный район;3327092;4092450
Немецкий национальный муниципальный район;1377250;1761798
